report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
90010982,2009-01-01,3202 MARTIN L KING DR,ROBBERY-PEDESTRIAN,None,33.750809999999994,-84.49406
90021005,2009-01-02,2961 TRIBBLE LN NW,BURGLARY-RESIDENCE,Stratford,33.759409999999995,-84.48366
90020717,2008-09-09,3160 HOWELL MILL RD,LARCENY-NON VEHICLE,None,33.84055,-84.42855
90021631,2009-01-02,1717 CENTRA VILLA DR SW,LARCENY-FROM VEHICLE,Brookwood Hills,33.80983,-84.39306999999998
90021019,2009-01-01,3393 PEACHTREE PARK DR NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.8138,-84.38956999999998
90031374,2009-01-03,2567 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.820409999999995,-84.45068
90030691,2009-01-03,659 LYNN VALLEY RD SW,LARCENY-FROM VEHICLE,None,33.73754,-84.48495
90030855,2009-01-02,1193 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81172,-84.42449999999998
90030548,2009-01-02,1968 PEACHTREE RD NW,LARCENY-NON VEHICLE,Brookwood Hills,33.80901,-84.39341999999998
90030532,2009-01-03,605 LYNN VALLEY RD SW,AUTO THEFT,None,33.73905,-84.48385
90040906,2008-12-31,40 PEACHTREE VALLEY RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.810959999999994,-84.39145
90040577,2009-01-04,2788 DEFOORS FERRY RD NW,AUTO THEFT,Westover Plantation,33.82114,-84.44713
90040076,2009-01-04,2285 PEACHTREE RD NE,LARCENY-FROM VEHICLE,None,33.81637,-84.38953999999998
90051169,2009-01-05,68 LINKWOOD RD NW,LARCENY-NON VEHICLE,Stratford,33.75703,-84.48298
90051423,2009-01-03,2313 SANDCOVE CT SW,LARCENY-NON VEHICLE,None,33.69992,-84.54175999999998
90051695,2009-01-05,2325 MARIETTA BLVD NW,AUTO THEFT,None,33.82087,-84.45355
90050263,2009-01-05,3086 MIDDLETON RD NW,ROBBERY-PEDESTRIAN,Stratford,33.7526,-84.48985999999998
90051546,2009-01-05,3201 WESTPORT WAY SW,BURGLARY-RESIDENCE,None,33.74434,-84.49107999999998
90050692,2008-12-29,1660 STANTON RD SW,BURGLARY-NONRES,None,33.70953,-84.44239
90050720,2008-01-02,2032 SANDLAKE DR SW,BURGLARY-RESIDENCE,None,33.699529999999996,-84.54159
90060751,2009-01-03,2251 MARIETTA BLVD,BURGLARY-NONRES,None,33.81831,-84.44880999999998
90061799,2009-01-06,4214 PEACHTREE PARK DR NE,BURGLARY-RESIDENCE,Brookwood Hills,33.81368,-84.38975
90041152,2009-01-02,3680 N CAMP CREEK PKWY SW,LARCENY-NON VEHICLE,None,33.67022,-84.5047
90060325,2009-01-05,1185 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81136,-84.42537
90062079,2009-01-06,3540 N CAMP CREEK PKWY SW,LARCENY-FROM VEHICLE,None,33.67051,-84.50298999999998
90070757,2009-01-06,3006 DELMAR LN NW,LARCENY-FROM VEHICLE,Stratford,33.75524,-84.48542999999998
90071792,2009-01-07,3201 MARTIN L KING JR DR NW,LARCENY-NON VEHICLE,None,33.75428,-84.49165
90061484,2009-01-04,3379 STONE RD,AUTO THEFT,None,33.67304,-84.50104
90072044,2009-01-07,166 STRATFORD DR NW,AGG ASSAULT,None,33.75667,-84.48797999999998
90081149,2009-01-08,2801 PEYTON CROSSING,BURGLARY-RESIDENCE,None,33.736540000000005,-84.47705
90081091,2009-01-08,3200 CUSHMAN CIR SW,BURGLARY-RESIDENCE,None,33.749,-84.4927
90081143,2009-01-08,3208 MLK JR DR,AGG ASSAULT,None,33.75352,-84.49535999999998
90091090,2008-10-18,PIEDMONT RD @ LAKESHORE DR,LARCENY-FROM VEHICLE,None,33.8159,-84.36663
90091635,2009-01-09,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90090736,2009-01-08,3040 DELMAR LN NW,AUTO THEFT,Stratford,33.755340000000004,-84.48648
90101386,2009-01-09,2025 PEACHTREE RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.80958,-84.39293999999998
90100519,2009-01-09,3910 CAMPBELLTON RD SW,BURGLARY-NONRES,None,33.69141,-84.51636999999998
90100450,2009-01-10,1684 STANTON RD SW,BURGLARY-RESIDENCE,None,33.70909,-84.44334999999998
90110911,2009-01-09,2471 FAIRBURN RD SW,LARCENY-FROM VEHICLE,None,33.68737,-84.51215
90110511,2009-01-10,1719 HADLOCK ST SW,AUTO THEFT,None,33.7086,-84.44652999999998
90120485,2009-01-12,1203 COLLIER RD NW,ROBBERY-COMMERCIAL,Ellsworth Park,33.81163,-84.42536
90120234,2009-01-12,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90121520,2009-01-12,3006 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75524,-84.48542999999998
90120600,2008-08-01,3160 HOWELL MILL RD,LARCENY-NON VEHICLE,None,33.84055,-84.42855
90111489,2009-01-11,1968 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81,-84.39583
90121597,2008-12-27,2788 DEFOORS FERRY RD NW,LARCENY-FROM VEHICLE,Westover Plantation,33.82114,-84.44713
90131501,2009-01-13,288 LAWSHE ST,AUTO THEFT,Joel Chandler Harris Homes,33.74714,-84.41105999999998
90141192,2009-01-14,725 PONCE DE LEON AVE,ROBBERY-PEDESTRIAN,None,33.7736,-84.36371
90140255,2009-01-14,2788 DEFOORS FERRY RD NW,AUTO THEFT,Westover Plantation,33.82114,-84.44713
90120241,2009-01-12,1401 DONALD LEE HOLLOWELL PKWY,LARCENY-NON VEHICLE,Grove Park,33.771409999999996,-84.43376999999998
90152104,2009-01-15,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90152129,2009-01-15,1920 HOWELL MILL ROAD,LARCENY-FROM VEHICLE,Ellsworth Park,33.80701,-84.41279
90150737,2009-01-15,1249 DONALD LEE HOLLOWELL PKWY,LARCENY-NON VEHICLE,None,33.77197,-84.42859
90152131,2009-01-15,1700 STANTON RD SW,AGG ASSAULT,None,33.709070000000004,-84.44364
90160438,2009-01-15,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90160983,2009-01-15,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90160884,2009-01-16,1185  COLLIER RD,AUTO THEFT,Ellsworth Park,33.81136,-84.42537
90160857,2009-01-14,122 LINKWOOD RD,LARCENY-FROM VEHICLE,Stratford,33.75857,-84.48341999999998
90180017,2009-01-18,3910 CAMPBELLTON RD SW,BURGLARY-NONRES,None,33.69141,-84.51636999999998
90180692,2009-01-18,3215 CUSHMAN CIR SW,AGG ASSAULT,None,33.74919000000001,-84.49308999999998
90160949,2009-01-16,415 ARMOUR DRIVE NE,AGG ASSAULT,Mayfair,33.812670000000004,-84.37411999999998
90180578,2009-01-17,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90180565,2009-01-17,1101 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81058,-84.42344
90191033,2009-01-19,2275 MARIETTA BLVD NW,LARCENY-NON VEHICLE,None,33.81879,-84.44967
90190877,2009-01-19,1968 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81,-84.39583
90200066,2009-01-20,4511 CAMPBELLTON RD SW;,BURGLARY-NONRES,None,33.69625,-84.53566999999998
90200007,2009-01-19,3215 CUSHMAN CIR SW,BURGLARY-RESIDENCE,None,33.749,-84.4927
90211890,2009-01-21,75 BENNETT ST NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81221,-84.39516
90210798,2009-01-21,1798 HADLOCK ST SW,BURGLARY-RESIDENCE,None,33.70615,-84.44611
90221936,2009-01-22,3060 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75537,-84.48671999999998
90222000,2009-01-22,2561 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.820440000000005,-84.45081
90221514,2009-01-22,2325 MARIETTA BLVD NW,LARCENY-NON VEHICLE,None,33.82087,-84.45355
90230645,2009-01-22,1401 DONALD LEE HOLLOWELL PKWY NW,ROBBERY-PEDESTRIAN,Grove Park,33.771409999999996,-84.43376999999998
90230116,2009-01-23,3910 CAMPBELLTON RD SW,BURGLARY-NONRES,None,33.69141,-84.51636999999998
90240649,2009-01-23,3040 DELMAR LN NW,BURGLARY-RESIDENCE,Stratford,33.755320000000005,-84.48623999999998
90251283,2009-01-24,2143 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81262,-84.39194999999998
90250675,2009-01-25,3230 CUSHMAN CIR SW,AUTO THEFT,None,33.74904,-84.49356
90250721,2009-01-25,3520 N CAMP CREEK PKWY SW,AGG ASSAULT,None,33.67062,-84.50279999999998
90251398,2009-01-25,3215 CUSHMAN CIR SW,BURGLARY-RESIDENCE,None,33.74919000000001,-84.49308999999998
90261145,2009-01-26,40 PEACHTREE VALLEY RD NE,AGG ASSAULT,Brookwood Hills,33.81086,-84.39018
90260136,2009-01-26,2788 DEFOORS FERRY RD NW,AGG ASSAULT,Westover Plantation,33.81987,-84.44459999999998
90261858,2009-01-26,415 ARMOUR DR NE,ROBBERY-PEDESTRIAN,Mayfair,33.812670000000004,-84.37411999999998
90260140,2009-01-26,1401 DONALD LEE HOLLOWELL PKWY NW,LARCENY-FROM VEHICLE,None,33.77315,-84.43299999999998
90260991,2009-01-24,2285 PEACHTREE RD NE,LARCENY-FROM VEHICLE,None,33.81637,-84.38953999999998
90261401,2009-01-26,2001 MARTIN L KING JR DR NW,LARCENY-FROM VEHICLE,Battle Hill Haven,33.75056,-84.45044
90271638,2009-01-27,3208 MARTIN L KING JR DR SW,LARCENY-NON VEHICLE,None,33.75188,-84.49244
90272193,2009-01-27,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90271191,2009-01-20,1968 PEACHTREE RD NW,LARCENY-NON VEHICLE,Brookwood Hills,33.81,-84.39583
90270887,2009-01-26,3075 HOWELL MILL RD NW,AUTO THEFT,None,33.840540000000004,-84.42405999999998
90281461,2009-01-27,531 HIAWASSEE DR SW,BURGLARY-RESIDENCE,None,33.74167,-84.49396
90280710,2009-01-27,67 PEACHTREE PARK DR NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.812259999999995,-84.39005
90280006,2009-01-27,3381 GREENBRIAR PKWY SW,BURGLARY-NONRES,None,33.68403,-84.50216
90281589,2009-01-28,1249 DONALD LEE HOLLOWELL PKWY NW,LARCENY-NON VEHICLE,None,33.77197,-84.42859
90290325,2009-01-28,120 BISCAYNE DR NW,LARCENY-FROM VEHICLE,None,33.815329999999996,-84.39402
90290883,2009-01-28,2453 CORONET WAY NW,BURGLARY-RESIDENCE,Ridgewood Heights,33.8209,-84.44957999999998
90291463,2009-01-28,1401 DONALD LEE HOLLOWELL PKWY NW,BURGLARY-RESIDENCE,Grove Park,33.771409999999996,-84.43376999999998
90301133,2009-01-30,415 ARMOUR DR NE,BURGLARY-RESIDENCE,Mayfair,33.812670000000004,-84.37411999999998
90301663,2009-01-30,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90310863,2009-01-30,2405 FAIRBURN RD SW @BEN HILL PARK,LARCENY-FROM VEHICLE,None,33.6889,-84.51290999999998
90310966,2009-01-30,415 ARMOUR DR NE,LARCENY-FROM VEHICLE,Mayfair,33.812670000000004,-84.37411999999998
90311140,2009-01-30,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90310130,2009-01-30,415 ARMOUR DR NE,LARCENY-NON VEHICLE,Mayfair,33.812670000000004,-84.37411999999998
90310677,2009-01-28,1815 MARTIN L KING JR DR NW,LARCENY-NON VEHICLE,Battle Hill Haven,33.75111,-84.44651999999998
90311660,2009-01-31,3071 MIDDLETON RD NW,AGG ASSAULT,None,33.754709999999996,-84.48939
90311718,2009-01-31,2440 BARGE RD SW,BURGLARY-RESIDENCE,None,33.68847,-84.50615
90320726,2009-01-31,3040 DELMAR LN NW,LARCENY-FROM VEHICLE,Stratford,33.755320000000005,-84.48623999999998
90330869,2009-02-02,2001 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.809020000000004,-84.39246999999997
90330268,2009-02-01,1870 CAMPBELLTON RD SW,AUTO THEFT,None,33.70939,-84.44964
90330863,2009-02-02,CUSHMAN CIR SW / BOULDER PARK DR SW,AGG ASSAULT,None,33.750809999999994,-84.49406
90331827,2009-02-02,3006 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75524,-84.48542999999998
90330095,2009-02-02,2923 DELMAR LN NW,AGG ASSAULT,Stratford,33.75526,-84.48251999999998
90331060,2009-02-02,2277 PEACHTREE RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.81595,-84.39050999999998
90340927,2009-02-03,1631 STANTON RD SW,ROBBERY-PEDESTRIAN,None,33.710609999999996,-84.44464
90342076,2009-02-03,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90342057,2009-02-03,2338 CUSHMAN CIRCLE SW,ROBBERY-PEDESTRIAN,None,33.75085,-84.49311
90350064,2009-02-04,3379 STONE RD SW,LARCENY-FROM VEHICLE,None,33.67304,-84.50104
90350770,2009-02-04,3280 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,None,33.84353,-84.42891999999998
90351346,2009-02-04,2099 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81196,-84.39139
90351964,2009-02-04,3201 MARTIN L KING JR DR SW,LARCENY-FROM VEHICLE,None,33.75392,-84.49195999999998
90360236,2009-02-05,4511 CAMPBELLTON RD,BURGLARY-NONRES,None,33.69625,-84.53566999999998
90361181,2009-02-04,1700 STANTON RD SW,BURGLARY-RESIDENCE,None,33.709070000000004,-84.44364
90361223,2009-02-05,2980 DELMAR LN NW,AUTO THEFT,Stratford,33.75439,-84.48483
90361107,2009-02-05,1968 PEACHTREE RD NW @PIEDMONT HOSPITAL,LARCENY-FROM VEHICLE,Brookwood Hills,33.81,-84.39583
90362108,2009-02-05,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90371296,2009-02-06,2061 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81108,-84.39163999999998
90370395,2009-02-03,2440 BARGE RD SW,LARCENY-NON VEHICLE,None,33.68847,-84.50615
90370131,2009-02-05,40 PEACHTREE VALLEY RD NE,BURGLARY-NONRES,Brookwood Hills,33.81086,-84.39018
90380921,2009-02-06,631 LYNN VALLEY RD SW,BURGLARY-RESIDENCE,None,33.73839,-84.48487
90381032,2009-02-07,2284 PEACHTREE RD NW,BURGLARY-NONRES,Brookwood Hills,33.81664,-84.39010999999998
90391226,2009-02-08,2400 CONSTITUTION RD SE,LARCENY-FROM VEHICLE,None,33.69262,-84.34945999999998
90391506,2009-02-08,1830 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.70994,-84.44833
90390751,2009-02-07,311 SCOTT ST SW,AUTO THEFT,None,33.749559999999995,-84.49594999999998
90390365,2009-02-08,415 ARMOUR DR NE,BURGLARY-NONRES,Mayfair,33.812670000000004,-84.37411999999998
90400302,2009-02-09,2061 PEACHTREE RD NE,ROBBERY-COMMERCIAL,Brookwood Hills,33.81108,-84.39163999999998
90400763,2009-02-09,PEACHTREE VALLEY RD NE / PEACHTREE RD NE,LARCENY-NON VEHICLE,Brookwood,33.810970000000005,-84.39248999999998
90400071,2009-02-08,1401 DONALD LEE HOLLOWELL PKWY NW,LARCENY-NON VEHICLE,None,33.77315,-84.43299999999998
90400474,2009-02-09,3550 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.689840000000004,-84.50490999999998
90400584,2009-02-09,80 PEACHTREE PARK DR NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81273,-84.38948
90410640,2009-02-10,400 PARK DR NE,LARCENY-FROM VEHICLE,None,33.786429999999996,-84.37144999999998
90410968,2009-02-10,415 ARMOUR DR NE,LARCENY-FROM VEHICLE,Mayfair,33.812670000000004,-84.37411999999998
90411076,2009-02-10,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
90411425,2009-02-10,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
90420792,2009-02-11,2295 CORONET WAY NW,BURGLARY-RESIDENCE,Westover Plantation,33.818090000000005,-84.44697999999998
90420342,2009-02-11,3006 DELMAR LN NW,AUTO THEFT,Stratford,33.75524,-84.48542999999998
90421063,2009-02-10,227 HUNNICUTT ST NW,AUTO THEFT,None,33.71028,-84.54850999999998
90421611,2009-02-11,2140 PEACHTREE RD NW,LARCENY-NON VEHICLE,Brookwood Hills,33.81296,-84.3926
90420964,2009-02-03,I-285 SB EXPY SW / ARTHUR LANGFORD EB PKWY SW,LARCENY-FROM VEHICLE,None,33.69012,-84.5002
90431999,2009-02-12,2555 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.82028,-84.45188
90430013,2009-02-12,1203 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81163,-84.42536
90430476,2009-02-11,2214 PEACHTREE RD NW,AUTO THEFT,Brookwood Hills,33.81511,-84.39172999999998
90430785,2009-02-11,1968 PEACHTREE RD NW,AUTO THEFT,Brookwood Hills,33.81,-84.39583
90440281,2009-02-13,1401 DONALD LEE HOLLOWELL PKWY NW,AGG ASSAULT,Grove Park,33.771409999999996,-84.43376999999998
90440781,2009-02-13,3150 HOWELL MILL RD NW,ROBBERY-PEDESTRIAN,None,33.83951,-84.42834999999998
90440403,2009-02-13,2980 DELMAR LN NW,AUTO THEFT,Stratford,33.75517,-84.48480999999998
90440314,2009-02-13,3550 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.689840000000004,-84.50490999999998
90451794,2009-02-14,2453 CORONET WAY NW,AGG ASSAULT,Westover Plantation,33.82117,-84.44793
90461307,2009-02-15,3125 OAKCLIFF RD NW,BURGLARY-RESIDENCE,None,33.7592,-84.48949
90471177,2009-02-16,3031 RHODENHAVEN DRIVE NW,LARCENY-FROM VEHICLE,None,33.8402,-84.41196999999998
90470302,2009-02-16,2099 PEACHTREE RD NE,LARCENY-NON VEHICLE,Brookwood Hills,33.81196,-84.39139
90471420,2009-02-15,3540 N CAMP CREEK PKWY SW,LARCENY-NON VEHICLE,None,33.67051,-84.50298999999998
90471876,2009-02-13,1185 COLLIER RD NW,AUTO THEFT,Ellsworth Park,33.81136,-84.42537
90480508,2009-02-16,3133 HICKMAN DR NW,LARCENY-FROM VEHICLE,Stratford,33.75489,-84.48948
90491935,2009-02-18,415 ARMOUR DR NE,LARCENY-FROM VEHICLE,Mayfair,33.812670000000004,-84.37411999999998
90490158,2009-02-18,3020 DELMAR LN NW,AUTO THEFT,Stratford,33.75527,-84.48577
90501298,2009-02-19,ALLEN TEMPLE CT NW / MIDDLETON RD NW,AGG ASSAULT,Stratford,33.75241,-84.49042
90500205,2009-02-19,415 ARMOUR DR NE,AUTO THEFT,Mayfair,33.812670000000004,-84.37411999999998
90500472,2009-02-18,3280 HOWELL MILL RD NW,LARCENY-NON VEHICLE,None,33.84352,-84.42834
90500410,2009-02-19,875 PEYTON RD SW,LARCENY-FROM VEHICLE,None,33.73154,-84.47963
90511190,2009-02-19,2211 MARIETTA BLVD NW,LARCENY-FROM VEHICLE,Westover Plantation,33.81766,-84.44745
90521501,2009-02-21,1185 COLLIER RD NW,ROBBERY-PEDESTRIAN,Ellsworth Park,33.81136,-84.42537
90510705,2009-02-19,1722 CAMPBELLTON ROAD,LARCENY-NON VEHICLE,None,33.71107,-84.44410999999998
90531581,2009-02-22,2061 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81108,-84.39163999999998
90530469,2009-02-22,3136 MARTIN L KING JR DR SW,AUTO THEFT,Stratford,33.75107,-84.48903
90541499,2009-02-23,40 PEACHTREE VALLEY RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.810959999999994,-84.39145
90540285,2009-02-23,3060 DELMAR LN NW,AGG ASSAULT,Stratford,33.75537,-84.48671999999998
90540927,2009-01-21,195 OTTLEY DR,LARCENY-NON VEHICLE,Brookwood Hills,33.80807,-84.38111999999998
90541843,2009-02-23,1193 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81172,-84.42449999999998
90551634,2009-02-24,2567 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.820409999999995,-84.45068
90551950,2009-02-23,1401 DONALD LEE HOLLOWELL PKWY NW,AUTO THEFT,Grove Park,33.771409999999996,-84.43376999999998
90561287,2009-02-25,3164 CUSHMAN CIR SW,BURGLARY-RESIDENCE,None,33.748979999999996,-84.49168
90560488,2009-02-25,2345 PINE GROVE DR,BURGLARY-RESIDENCE,Westover Plantation,33.81948,-84.44775
90561784,2009-02-25,2788 DEFOORS FERRY RD NW,BURGLARY-RESIDENCE,Westover Plantation,33.82114,-84.44713
90560761,2009-02-24,2440 BARGE RD SW,LARCENY-FROM VEHICLE,None,33.68847,-84.50615
90570021,2009-02-26,600 LYNN CIR SW,LARCENY-FROM VEHICLE,None,33.738690000000005,-84.48811999999998
90571094,2009-02-26,2140 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81301,-84.3938
90570320,2009-02-26,2325 MARIETTA BLVD NW,AUTO THEFT,None,33.82087,-84.45355
90571056,2009-02-26,40 PEACHTREE VALLEY RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.810959999999994,-84.39145
90580336,2009-02-27,415 ARMOUR DR NE,BURGLARY-RESIDENCE,Mayfair,33.812670000000004,-84.37411999999998
90581556,2009-02-27,7188 BROOKWOOD VALLEY CIR NE,BURGLARY-RESIDENCE,Brookwood Hills,33.81029,-84.39131999999998
90580309,2009-02-27,2025 PEACHTREE RD NE,ROBBERY-PEDESTRIAN,Brookwood Hills,33.80958,-84.39293999999998
90581582,2009-02-25,3730 CAMPBELLTON ROAD,LARCENY-FROM VEHICLE,None,33.6903,-84.51010999999998
90590728,2009-02-27,3580 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.6899,-84.50584
90590739,2009-02-27,3040 DELMAR LN NW,AUTO THEFT,Stratford,33.755320000000005,-84.48623999999998
90592011,2009-02-28,1700 STANTON RD SW,AGG ASSAULT,None,33.70863,-84.44348999999998
90601236,2009-03-01,94 ALLEN TEMPLE CT,AGG ASSAULT,Stratford,33.7523,-84.4902
90600477,2009-03-01,3020 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75527,-84.48577
90610887,2009-03-02,2099 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81196,-84.39139
90611087,2009-03-02,2277 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81595,-84.39050999999998
90611420,2009-03-02,396 BROWNLEE RD,LARCENY-FROM VEHICLE,None,33.74635,-84.49705
90611445,2009-03-02,1983 MARTIN LUTHER KING JR DRIVE NW,AGG ASSAULT,Battle Hill Haven,33.75014,-84.45241
90610078,2009-03-02,415 ARMOUR DR NE,BURGLARY-NONRES,Mayfair,33.812670000000004,-84.37411999999998
90621372,2009-03-03,3060 DELMAR LN,BURGLARY-RESIDENCE,Stratford,33.75483,-84.48734
90621830,2009-03-03,311 SCOTT ST SW,BURGLARY-RESIDENCE,None,33.749559999999995,-84.49594999999998
90621583,2009-03-03,STANTON RD SW / CAMPBELLTON RD SW,AUTO THEFT,None,33.71107,-84.44410999999998
90630293,2009-03-03,FAIRBURN RD SW / CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.69062,-84.51144999999998
90630277,2009-03-04,3290 NORHTSIDE PKWY SUITE 100,BURGLARY-NONRES,None,33.84475,-84.42693
90641399,2009-03-04,508 MAIN ST,AUTO THEFT,None,33.81524,-84.39369999999998
90640755,2009-03-05,3193 HOWELL MILL RD NW,ROBBERY-PEDESTRIAN,None,33.842220000000005,-84.42766999999998
90650784,2009-03-06,3230 CUSHMAN CIR SW,LARCENY-FROM VEHICLE,None,33.74904,-84.49356
90650696,2009-03-05,3160 CUSHMAN CIR SW,LARCENY-FROM VEHICLE,None,33.748979999999996,-84.49155999999998
90650878,2009-03-05,1925 NISKEY LAKE RD SW @BUNCHE MIDDLE,LARCENY-NON VEHICLE,None,33.70106,-84.53062
90651032,2009-03-05,1401 DONALD LEE HOLLOWELL PKWY NW,AUTO THEFT,Grove Park,33.771409999999996,-84.43376999999998
90652261,2009-03-06,3221 MARTIN L KING JR DR NW,ROBBERY-PEDESTRIAN,None,33.75284,-84.49255999999998
90650510,2009-03-05,11 ALLEN TEMPLE CT NW,AUTO THEFT,None,33.75517,-84.49078
90651840,2009-03-06,54 PEACHTREE PARK DR NE,AUTO THEFT,Brookwood Hills,33.81296,-84.39082999999998
90651104,2009-03-06,2143 PEACHTREE RD NE,AGG ASSAULT,Brookwood Hills,33.81262,-84.39194999999998
90650085,2009-03-05,1970 MOORES MILL RD NW,BURGLARY-NONRES,Ridgewood Heights,33.82163,-84.44969
90660977,2009-03-07,3540 N CAMP CREEK PKWY SW,AGG ASSAULT,None,33.67051,-84.50298999999998
90661069,2009-02-27,PEACHTREE RD NE / LENOX PKWY NE,AUTO THEFT,None,33.84895,-84.36506999999997
90660507,2009-03-07,3221 MARTIN L KING JR DR NW,AUTO THEFT,None,33.75284,-84.49255999999998
90660628,2009-03-06,2465 FAIRBURN RD SW,LARCENY-FROM VEHICLE,None,33.687670000000004,-84.51206999999998
90661962,2009-03-07,3580 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.6899,-84.50584
90680539,2009-03-07,2140 PEACHTREE RD NW,BURGLARY-RESIDENCE,Brookwood Hills,33.81301,-84.3938
90680286,2009-03-09,3006 DELMAR LN NW,ROBBERY-RESIDENCE,Stratford,33.75524,-84.48542999999998
90691750,2009-03-10,3201 MARTIN LUTHER KING JR DR,LARCENY-NON VEHICLE,None,33.75428,-84.49165
90690034,2009-03-09,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90692246,2009-03-09,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
90692341,2009-03-10,1185 COLLIER RD NW,LARCENY-NON VEHICLE,Ellsworth Park,33.81136,-84.42537
90690900,2009-03-10,HOWARD ST SE / MEMORIAL DR SE,ROBBERY-PEDESTRIAN,South Kirkwood,33.74738,-84.32333
90701805,2009-03-11,3280 NORTHSIDE PKWY NW,BURGLARY-RESIDENCE,None,33.844809999999995,-84.42601999999998
90702220,2009-03-11,CAMPBELLTON RD/SARAH M HARDEN DR,ROBBERY-PEDESTRIAN,None,33.71107,-84.44410999999998
90700424,2009-03-10,3150 REEVES CIR NW,AUTO THEFT,None,33.75454000000001,-84.49008
90700457,2009-03-10,3060 DELMAR LN NW,LARCENY-FROM VEHICLE,Stratford,33.75537,-84.48671999999998
90711119,2009-03-12,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
90711371,2009-03-12,3280 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,None,33.84353,-84.42891999999998
90720779,2009-03-13,3040 DELMAR LN NW,AUTO THEFT,Stratford,33.755320000000005,-84.48623999999998
90720490,2009-03-12,3540 N CAMP CREEK PKWY SW,AUTO THEFT,None,33.67051,-84.50298999999998
