report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
143621412,2014-12-26,820 MOORES MILL RD NW,LARCENY-FROM VEHICLE,None,33.84052,-84.41476
143621692,2014-12-25,2428 BUTNER RD SW,BURGLARY-RESIDENCE,None,33.68855,-84.52687
143622338,2014-12-28,2045 GRAHAM CIR SE,BURGLARY-RESIDENCE,Eastland Heights,33.72702,-84.32212
143622361,2014-12-28,2045 GRAHAM CIR SE,BURGLARY-RESIDENCE,Eastland Heights,33.72702,-84.32212
143621294,2014-12-28,43 ALLEN TEMPLE CT NW,AUTO THEFT,None,33.75392,-84.49080999999998
143621930,2014-12-28,3164 CUSHMAN CIR SW,AUTO THEFT,None,33.748979999999996,-84.49168
143620024,2014-12-28,3285 MARTIN L KING JR DR NW,ROBBERY-PEDESTRIAN,None,33.7536,-84.49455
143632649,2014-12-29,3580 CAMPBELLTON RD SW,ROBBERY-PEDESTRIAN,None,33.6899,-84.50584
143612907,2014-12-27,2143 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81262,-84.39194999999998
143632420,2014-12-29,1968 PEACHTREE RD NW ,LARCENY-FROM VEHICLE,Brookwood Hills,33.81,-84.39583
143640368,2014-12-30,500 10TH ST NE,BURGLARY-NONRES,None,33.781859999999995,-84.37299999999998
143641278,2014-12-30,494 PLASTERS AV NE,BURGLARY-NONRES,Mayfair,33.81163,-84.37264999999998
143642443,2014-12-30,3378 GREENBRIAR PKWY SW,AUTO THEFT,None,33.68387,-84.50203999999998
143652214,2014-12-31,2082 STANTON RD,AGG ASSAULT,None,33.69798,-84.44838
143651110,2014-12-30,1968 PEACHTREE ST NW,LARCENY-NON VEHICLE,Brookwood Hills,33.81,-84.39583
143651710,2014-12-31,2233 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.8153,-84.39131
143652409,2014-12-31,2325 MARIETTA BLVD,LARCENY-FROM VEHICLE,None,33.82065,-84.45274
150012457,2015-01-01,2143 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81262,-84.39194999999998
150020371,2015-01-02,1870 CAMPBELLTON RD SW,AGG ASSAULT,None,33.7076,-84.44852
150021484,2014-12-31,494 PLASTERS AVE NE,AUTO THEFT,Mayfair,33.81163,-84.37264999999998
150021982,2015-01-02,49 DELMOOR DR NW,LARCENY-NON VEHICLE,None,33.7571,-84.48946999999998
150022391,2015-01-02,3378 GREENBRIAR PKWY SW,AGG ASSAULT,None,33.682990000000004,-84.50128999999998
150020619,2014-12-30,2045 PEACHTREE RD NE,BURGLARY-NONRES,Brookwood,33.810179999999995,-84.39269
150020811,2014-12-30,2045 PEACHTREE RD NE,BURGLARY-NONRES,Brookwood,33.810179999999995,-84.39269
150020606,2014-12-30,2061 PEACHTREE RD NE,BURGLARY-NONRES,Brookwood Hills,33.811,-84.39235999999998
150031266,2015-01-03,3201 MARTIN L KING JR DR NW @GORDON VALLEY APTS,LARCENY-FROM VEHICLE,None,33.75428,-84.49165
150031365,2015-01-02,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
150031448,2015-01-03,603 GARY AVE NW,ROBBERY-PEDESTRIAN,Grove Park,33.772009999999995,-84.42959999999998
150042343,2015-01-04,1631 STANTON RD,ROBBERY-PEDESTRIAN,None,33.71059,-84.44498
150040393,2015-01-04,2440 BARGE RD SW,AGG ASSAULT,None,33.68847,-84.50615
150041998,2015-01-04,2277 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81595,-84.39050999999998
150042363,2015-01-04,580 10TH ST NE,LARCENY-FROM VEHICLE,None,33.78185,-84.36928
